  8.51  raw ff3bf400 ff716c00 ff945c00 ff9f9600 | n=512 bytes=2048 | min=   -88016 max=    75874 mean=  -3435.1 rms=  32141.8 (0.3832% FS) zeros=  0 flat=  1
  8.83  raw fb7faa00 fc81ae00 fe02a000 ff4b1e00 | n=512 bytes=2048 | min=  -322020 max=   312282 mean= -25470.6 rms= 133507.4 (1.5915% FS) zeros=  0 flat=  1
  9.05  raw 0279e200 02934600 02a2e400 0289d200 | n=512 bytes=2048 | min=   -15170 max=   257566 mean= 102157.0 rms= 117967.2 (1.4063% FS) zeros=  0 flat=  1
  9.27  raw 003ca200 0037ea00 ff686400 ffe11600 | n=512 bytes=2048 | min=  -164284 max=   125684 mean= -39034.5 rms=  65110.4 (0.7762% FS) zeros=  0 flat=  1
  9.49  raw fee17e00 fef13c00 fed2fa00 fe863e00 | n=512 bytes=2048 | min=  -278240 max=    90964 mean= -89462.0 rms= 120589.1 (1.4375% FS) zeros=  0 flat=  1
  9.81  raw 01657800 0187d000 017f8a00 015b3e00 | n=512 bytes=2048 | min=     1186 max=   196714 mean=  98073.9 rms= 107192.4 (1.2778% FS) zeros=  0 flat=  1
 10.03  raw fbccf800 fbba8e00 fb8a8e00 fba58c00 | n=512 bytes=2048 | min=  -425846 max=  -142708 mean=-273860.0 rms= 281270.2 (3.3530% FS) zeros=  0 flat=  1
 10.25  raw fff09200 fff79a00 ffdb2a00 ffd57e00 | n=512 bytes=2048 | min=   -92284 max=   161814 mean=  21470.8 rms=  64740.5 (0.7718% FS) zeros=  0 flat=  1
 10.57  raw fef60400 ff18f000 ff683800 fedd3c00 | n=512 bytes=2048 | min=   -74436 max=   324898 mean= 117362.4 rms= 138994.1 (1.6569% FS) zeros=  0 flat=  1
 10.78  raw 02867800 02cd7000 0299ac00 02bbb200 | n=512 bytes=2048 | min=  -458056 max=   377946 mean= -29238.9 rms= 198189.4 (2.3626% FS) zeros=  0 flat=  1
 11.00  raw 02bcb400 02658600 01e10800 014e7200 | n=512 bytes=2048 | min=  -136898 max=   248204 mean=  68624.3 rms= 107557.6 (1.2822% FS) zeros=  0 flat=  1
 11.33  raw ffaffa00 ffa45000 ff8d8c00 ff617e00 | n=512 bytes=2048 | min=  -154356 max=   140168 mean= -11449.3 rms=  78278.8 (0.9332% FS) zeros=  0 flat=  1
 11.55  raw fbb24400 fbdade00 fc78c600 fd47c200 | n=512 bytes=2048 | min=  -660830 max=   372756 mean= -23284.2 rms= 218384.6 (2.6033% FS) zeros=  0 flat=  1
 11.77  raw 022b7c00 02503e00 024dc800 01eedc00 | n=512 bytes=2048 | min=  -136226 max=   243280 mean=  54947.7 rms= 104821.9 (1.2496% FS) zeros=  0 flat=  1
 12.09  raw 002c6800 00357800 00309c00 002afe00 | n=512 bytes=2048 | min=   -88776 max=   122424 mean=   4048.1 rms=  49731.7 (0.5928% FS) zeros=  0 flat=  1
 12.31  raw ff386400 ffc55400 007d0200 00801a00 | n=512 bytes=2048 | min=  -487746 max=   145700 mean=-104621.7 rms= 161307.6 (1.9229% FS) zeros=  0 flat=  1
 12.53  raw 012c0c00 01476e00 01425c00 01651800 | n=512 bytes=2048 | min=   -53292 max=   153336 mean=  39761.4 rms=  62151.5 (0.7409% FS) zeros=  0 flat=  1
 12.75  raw fce85600 fcf2f400 fd5fbe00 fd451e00 | n=512 bytes=2048 | min=  -242656 max=   170534 mean=-101562.9 rms= 120168.0 (1.4325% FS) zeros=  0 flat=  1
 13.08  raw feece000 fef50200 fea98800 fe7f4800 | n=512 bytes=2048 | min=  -259952 max=   307004 mean=  64914.0 rms= 145689.0 (1.7367% FS) zeros=  0 flat=  1
 13.31  raw 01340200 011a5600 00f1a600 00d7ea00 | n=512 bytes=2048 | min=   -61948 max=   183358 mean=  61017.6 rms=  81553.4 (0.9722% FS) zeros=  0 flat=  1
 13.53  raw fc4ee600 fb93f800 fbc56000 fc641600 | n=512 bytes=2048 | min=  -467178 max=   340760 mean= -95751.2 rms= 192099.0 (2.2900% FS) zeros=  0 flat=  1
 13.86  raw fe1c1c00 fe2bac00 fe3c0600 fe2ac200 | n=512 bytes=2048 | min=  -331838 max=   325072 mean=  51713.2 rms= 147013.4 (1.7525% FS) zeros=  0 flat=  1
 14.07  raw 0160c400 019a6e00 01c64e00 01e21400 | n=512 bytes=2048 | min=   -58586 max=   177338 mean=  70040.5 rms=  92743.4 (1.1056% FS) zeros=  0 flat=  1
 14.29  raw 0373d000 03bf0e00 03dbdc00 043fb000 | n=512 bytes=2048 | min=  -534560 max=   300534 mean= -69844.7 rms= 187271.3 (2.2324% FS) zeros=  0 flat=  1
 14.61  raw 01bef200 019a5400 016f1e00 015c4000 | n=512 bytes=2048 | min=   -24926 max=   212266 mean=  94349.8 rms= 104578.7 (1.2467% FS) zeros=  0 flat=  1
 14.83  raw 02488c00 025e9800 02749a00 029c0600 | n=512 bytes=2048 | min=  -116236 max=   172838 mean=  -6517.7 rms=  60032.9 (0.7156% FS) zeros=  0 flat=  1
 15.05  raw fc1a8200 fbd73200 fbd21a00 fbd69e00 | n=512 bytes=2048 | min=  -288512 max=  -100626 mean=-225452.8 rms= 228754.4 (2.7270% FS) zeros=  0 flat=  1
