  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.01  ================================================================
  3.03  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 13.12  kw 0.029  unk 0.538  sil 0.433  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.033  unk 0.604  sil 0.363  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.023  unk 0.718  sil 0.259  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.045  unk 0.830  sil 0.125  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.012  unk 0.947  sil 0.041  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.022  unk 0.959  sil 0.019  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.019  unk 0.973  sil 0.007  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.372  unk 0.619  sil 0.010  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.194  unk 0.774  sil 0.031  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.070  unk 0.891  sil 0.039  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.036  unk 0.759  sil 0.205  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.025  unk 0.716  sil 0.259  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.008  unk 0.496  sil 0.496  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.007  unk 0.425  sil 0.568  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.013  unk 0.248  sil 0.739  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.13  kw 0.007  unk 0.236  sil 0.757  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.13  kw 0.074  unk 0.317  sil 0.610  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.13  kw 0.005  unk 0.293  sil 0.702  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.13  kw 0.006  unk 0.157  sil 0.837  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.13  kw 0.007  unk 0.356  sil 0.637  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.14  kw 0.004  unk 0.264  sil 0.732  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.14  kw 0.004  unk 0.374  sil 0.622  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.14  kw 0.006  unk 0.390  sil 0.604  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.14  kw 0.009  unk 0.323  sil 0.668  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.14  kw 0.006  unk 0.340  sil 0.654  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.14  kw 0.011  unk 0.979  sil 0.010  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.14  kw 0.224  unk 0.668  sil 0.108  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.14  kw 0.820  unk 0.165  sil 0.015  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 18.14  kw 0.954  unk 0.031  sil 0.015  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.14  kw 0.934  unk 0.059  sil 0.007  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
