  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 13.12  kw 0.068  unk 0.337  sil 0.595  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.211  unk 0.417  sil 0.372  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.065  unk 0.302  sil 0.633  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.006  unk 0.083  sil 0.911  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.004  unk 0.114  sil 0.883  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.030  unk 0.290  sil 0.681  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.482  unk 0.087  sil 0.430  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.982  unk 0.004  sil 0.015  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.996  unk 0.001  sil 0.003  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 14.13  kw 0.984  unk 0.003  sil 0.013  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.14  kw 0.753  unk 0.103  sil 0.144  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.14  kw 0.213  unk 0.226  sil 0.561  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.14  kw 0.024  unk 0.247  sil 0.729  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.14  kw 0.007  unk 0.097  sil 0.896  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.14  kw 0.003  unk 0.108  sil 0.889  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.001  unk 0.044  sil 0.955  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.000  unk 0.022  sil 0.978  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.16  kw 0.000  unk 0.037  sil 0.962  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 16.16  kw 0.001  unk 0.058  sil 0.942  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.17  kw 0.004  unk 0.125  sil 0.870  -> silence | vote 0 | feat 1.18 ms  infer 84.16 ms  cpu 48.0%
 17.17  kw 0.154  unk 0.205  sil 0.641  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.480  unk 0.480  sil 0.039  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.995  unk 0.001  sil 0.004  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 1.000  unk 0.000  sil 0.000  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 17.17  kw 0.998  unk 0.001  sil 0.002  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.18  kw 0.974  unk 0.006  sil 0.020  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.18  kw 0.047  unk 0.185  sil 0.768  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.18  kw 0.003  unk 0.093  sil 0.904  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.18  kw 0.000  unk 0.044  sil 0.956  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.18  kw 0.000  unk 0.035  sil 0.964  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.20  kw 0.000  unk 0.034  sil 0.966  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.20  kw 0.000  unk 0.044  sil 0.956  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.20  kw 0.000  unk 0.040  sil 0.960  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.20  kw 0.001  unk 0.093  sil 0.906  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.20  kw 0.014  unk 0.239  sil 0.747  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.21  kw 0.002  unk 0.139  sil 0.859  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.21  kw 0.017  unk 0.228  sil 0.755  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 20.21  kw 0.009  unk 0.220  sil 0.771  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.21  kw 0.026  unk 0.446  sil 0.529  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 20.21  kw 0.181  unk 0.795  sil 0.025  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.22  kw 0.735  unk 0.249  sil 0.016  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
