  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 2 consecutive windows required to fire
  1.00  ================================================================
  3.01  [ MODEL ] 24536 bytes | arena used 15468 of 49152 | heap free 249152
 13.08  kw 0.025  unk 0.457  sil 0.518  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 13.08  kw 0.013  unk 0.211  sil 0.776  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 13.08  kw 0.011  unk 0.167  sil 0.822  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 13.08  kw 0.008  unk 0.050  sil 0.943  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.08  kw 0.036  unk 0.523  sil 0.442  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.08  kw 0.018  unk 0.210  sil 0.772  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.08  kw 0.282  unk 0.653  sil 0.065  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.08  kw 0.056  unk 0.785  sil 0.159  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.08  kw 0.151  unk 0.846  sil 0.003  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 15.09  kw 0.020  unk 0.611  sil 0.369  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 15.09  kw 0.027  unk 0.970  sil 0.002  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 15.09  kw 0.029  unk 0.586  sil 0.385  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 15.09  kw 0.058  unk 0.822  sil 0.119  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 15.09  kw 0.055  unk 0.708  sil 0.238  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.11  kw 0.056  unk 0.932  sil 0.012  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.11  kw 0.030  unk 0.929  sil 0.042  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.11  kw 0.046  unk 0.946  sil 0.008  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.11  kw 0.027  unk 0.949  sil 0.025  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.11  kw 0.070  unk 0.875  sil 0.055  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.11  kw 0.037  unk 0.940  sil 0.023  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.11  kw 0.079  unk 0.904  sil 0.017  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
