  0.55  
  0.55  ================================================================
  0.55   EXP-002  INMP441 RAW I2S CAPTURE
  0.55    pins: SCK=6  WS=5  SD=4   |  16000 Hz, 32-bit slot, LEFT only
  0.55  ================================================================
  0.55  [ I2S INIT ]
  0.55    i2s_driver_install  -> ESP_OK
  0.55    i2s_set_pin         -> ESP_OK
  0.55    I2S initialised OK
  0.55  
  0.55  Legend:  raw = first 4 raw 32-bit words (hex, straight from DMA)
  0.55           min/max/mean/rms are signed 24-bit values (raw >> 8)
  0.55           full scale = +/-8388607
  0.55  
  7.87  raw 00dfec00 00c49000 00bc5c00 00da1a00 | n=512 bytes=2048 | min=  -133054 max=   199062 mean=  12001.4 rms=  65668.4 (0.7828% FS) zeros=  0 flat=  1
  8.19  raw 00458c00 0042aa00 00393c00 0013e600 | n=512 bytes=2048 | min=  -108810 max=    94870 mean= -21275.4 rms=  51626.4 (0.6154% FS) zeros=  0 flat=  1
  8.41  raw fe8e9e00 feafec00 fec33600 fea9b400 | n=512 bytes=2048 | min=  -196788 max=   127620 mean= -41155.1 rms=  70313.0 (0.8382% FS) zeros=  0 flat=  1
  8.63  raw 005f5400 004ae200 00434e00 00485c00 | n=512 bytes=2048 | min=  -170946 max=   144484 mean=  -1243.6 rms=  65809.0 (0.7845% FS) zeros=  0 flat=  1
  8.96  raw fe941400 fea87400 fed79a00 feee6c00 | n=512 bytes=2048 | min=  -136704 max=   109326 mean= -21584.3 rms=  51783.0 (0.6173% FS) zeros=  0 flat=  1
  9.17  raw ffffa000 001a9a00 002bda00 0037a000 | n=512 bytes=2048 | min=   -99194 max=   166752 mean=  16300.6 rms=  49989.7 (0.5959% FS) zeros=  0 flat=  1
  9.39  raw ff15ca00 ff502600 ff6f3200 ff2ffe00 | n=512 bytes=2048 | min=   -67618 max=   125608 mean=  20559.4 rms=  49163.7 (0.5861% FS) zeros=  0 flat=  1
  9.72  raw 00552400 003b8400 0045cc00 00667e00 | n=512 bytes=2048 | min=  -106096 max=   105916 mean=  -2392.5 rms=  47789.2 (0.5697% FS) zeros=  0 flat=  1
 10.15  raw fe86cc00 fe8cc200 fe7ec000 feaa7200 | n=512 bytes=2048 | min=  -112874 max=   121494 mean= -20624.5 rms=  51216.7 (0.6106% FS) zeros=  0 flat=  1
 10.15  raw ff90ee00 ff99c000 ffb62800 ffd04e00 | n=512 bytes=2048 | min=  -158910 max=   124624 mean= -16466.0 rms=  59298.4 (0.7069% FS) zeros=  0 flat=  1
 10.37  raw 00322e00 00359000 001d9400 002d0200 | n=512 bytes=2048 | min=   -24546 max=   125964 mean=  59704.3 rms=  66500.9 (0.7928% FS) zeros=  0 flat=  1
 10.70  raw ffcb6e00 ffbdb400 ffc4be00 ffc8f000 | n=512 bytes=2048 | min=   -95144 max=   123644 mean=  13607.1 rms=  44479.4 (0.5302% FS) zeros=  0 flat=  1
 10.92  raw 00659800 00712200 006d4800 003c2200 | n=512 bytes=2048 | min=   -78172 max=    37122 mean= -25477.4 rms=  33373.0 (0.3978% FS) zeros=  0 flat=  1
 11.14  raw ff5ed200 ff81ba00 ff741c00 ff5d2400 | n=512 bytes=2048 | min=   -94282 max=    61716 mean=  -5034.6 rms=  29661.0 (0.3536% FS) zeros=  0 flat=  1
 11.47  raw 0116d200 01267800 00f52600 00a0c200 | n=512 bytes=2048 | min=   -93592 max=   129152 mean=   8071.2 rms=  51538.5 (0.6144% FS) zeros=  0 flat=  1
 11.68  raw fffcf200 fff37000 fff03e00 ffe67000 | n=512 bytes=2048 | min=  -150982 max=    81500 mean= -32889.3 rms=  54394.8 (0.6484% FS) zeros=  0 flat=  1
 11.90  raw f763da00 f0d71a00 f0632a00 f49c5000 | n=512 bytes=2048 | min= -1406360 max=  1487876 mean= -80971.1 rms= 474456.3 (5.6560% FS) zeros=  0 flat=  1
 12.23  raw 02df3a00 02e3f000 02d24e00 02789600 | n=512 bytes=2048 | min=   -12480 max=   212120 mean=  97917.1 rms= 107914.3 (1.2864% FS) zeros=  0 flat=  1
 12.45  raw f63c8000 f6253a00 f5bc8200 f5b33200 | n=512 bytes=2048 | min=  -814382 max=  -531640 mean=-674235.5 rms= 676898.8 (8.0693% FS) zeros=  0 flat=  1
 12.67  raw 05182200 04f28000 04e1d000 04a80c00 | n=512 bytes=2048 | min=   230978 max=   419272 mean= 334050.4 rms= 336337.5 (4.0095% FS) zeros=  0 flat=  1
 12.89  raw 03002a00 02fc2e00 03182a00 033cde00 | n=512 bytes=2048 | min=   101340 max=   387328 mean= 239399.8 rms= 248148.1 (2.9582% FS) zeros=  0 flat=  1
 13.21  raw 00826c00 005b3e00 002c3800 00102000 | n=512 bytes=2048 | min=   -47596 max=   139590 mean=  37476.2 rms=  53227.5 (0.6345% FS) zeros=  0 flat=  1
 13.43  raw fc310a00 fda98600 fdada400 fd41e800 | n=512 bytes=2048 | min=  -566856 max=    33148 mean=-241470.8 rms= 269328.0 (3.2106% FS) zeros=  0 flat=  1
 13.65  raw f888b400 f82c0600 f812c800 f8635200 | n=512 bytes=2048 | min=  -519480 max=  -191364 mean=-311032.9 rms= 318424.9 (3.7959% FS) zeros=  0 flat=  1
 13.98  raw 0d6f1200 0d6a5e00 0d7c1400 0da02e00 | n=512 bytes=2048 | min=   796252 max=   998450 mean= 892464.5 rms= 893710.5 (10.6539% FS) zeros=  0 flat=  1
 14.20  raw 0282a800 02836800 03233200 03d54800 | n=512 bytes=2048 | min=   -57114 max=   415286 mean= 159311.0 rms= 177623.1 (2.1174% FS) zeros=  0 flat=  1
 14.42  raw 032e8600 0333fe00 02f6b000 02b8f400 | n=512 bytes=2048 | min=   102842 max=   298232 mean= 221477.6 rms= 224914.6 (2.6812% FS) zeros=  0 flat=  1
 14.64  raw 01891a00 017aba00 016bfe00 0146cc00 | n=512 bytes=2048 | min=    15896 max=   209930 mean=  85777.2 rms=  95477.2 (1.1382% FS) zeros=  0 flat=  1
 14.96  raw fd3b8600 fcffb600 fcc78600 fcd47400 | n=512 bytes=2048 | min=  -341856 max=  -106714 mean=-236492.4 rms= 240549.6 (2.8676% FS) zeros=  0 flat=  1
 15.18  raw fdcf8c00 fde63800 fdfd9c00 fe0d7800 | n=512 bytes=2048 | min=  -224428 max=   -16762 mean=-111528.0 rms= 118764.1 (1.4158% FS) zeros=  0 flat=  1
 15.40  raw ffd25200 ff538e00 ff68ae00 ff79a800 | n=512 bytes=2048 | min=   -85488 max=   141834 mean=  31807.3 rms=  55475.9 (0.6613% FS) zeros=  0 flat=  1
 15.73  raw fdb86a00 fdbb1c00 fdbd6e00 fdbdde00 | n=512 bytes=2048 | min=  -202102 max=      998 mean=-109550.4 rms= 114862.1 (1.3693% FS) zeros=  0 flat=  1
 15.95  raw fbe98200 fbf78800 fbe8c200 fbe34a00 | n=512 bytes=2048 | min=  -410096 max=  -174694 mean=-293073.2 rms= 296533.4 (3.5350% FS) zeros=  0 flat=  1
 16.17  raw fe661a00 fe6b6200 fefda800 ff5d7000 | n=512 bytes=2048 | min=  -254270 max=   435284 mean=  39104.8 rms= 176151.9 (2.0999% FS) zeros=  0 flat=  1
 16.50  raw 03936200 0395d000 03aed000 03e25400 | n=512 bytes=2048 | min=  -359926 max=   488904 mean= 110296.5 rms= 236875.2 (2.8238% FS) zeros=  0 flat=  1
 16.72  raw fe737a00 fe61f400 fe4d6e00 fe22a600 | n=512 bytes=2048 | min=  -207820 max=   201744 mean= -11374.4 rms=  78059.8 (0.9305% FS) zeros=  0 flat=  1
 16.94  raw fe797400 fee20000 fef5a800 ff6c3400 | n=512 bytes=2048 | min=  -513670 max=   228780 mean=-109522.4 rms= 205582.0 (2.4507% FS) zeros=  0 flat=  1
 17.16  raw 021faa00 0232e200 027dd000 030ebc00 | n=512 bytes=2048 | min=  -310424 max=   379862 mean=  21894.4 rms= 151723.1 (1.8087% FS) zeros=  0 flat=  1
 17.49  raw 01a7ca00 01e04600 01d40c00 01c30a00 | n=512 bytes=2048 | min=  -240346 max=   334794 mean=  91662.3 rms= 149778.1 (1.7855% FS) zeros=  0 flat=  1
 17.70  raw 00ba9400 00875000 00d08e00 00b29e00 | n=512 bytes=2048 | min=  -142286 max=   233164 mean=  50934.3 rms=  90659.6 (1.0807% FS) zeros=  0 flat=  1
