  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.00  ================================================================
  1.00  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 13.11  kw 0.014  unk 0.788  sil 0.198  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.11  kw 0.035  unk 0.603  sil 0.362  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.11  kw 0.062  unk 0.689  sil 0.249  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.11  kw 0.099  unk 0.759  sil 0.142  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.12  kw 0.012  unk 0.984  sil 0.005  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.12  kw 0.641  unk 0.358  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.12 ms  cpu 48.0%   *** SENTINEL ***
 14.12  kw 0.341  unk 0.656  sil 0.004  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.12  kw 0.735  unk 0.265  sil 0.000  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.12  kw 0.698  unk 0.218  sil 0.085  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 14.12  kw 0.190  unk 0.656  sil 0.153  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 48.0%
 15.13  kw 0.014  unk 0.942  sil 0.044  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 15.13  kw 0.010  unk 0.908  sil 0.082  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.010  unk 0.945  sil 0.044  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.061  unk 0.676  sil 0.263  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.13  kw 0.012  unk 0.600  sil 0.388  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.15  kw 0.017  unk 0.877  sil 0.106  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.15  kw 0.004  unk 0.994  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.15  kw 0.001  unk 0.998  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.15  kw 0.002  unk 0.997  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 16.15  kw 0.063  unk 0.933  sil 0.003  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.16  kw 0.003  unk 0.981  sil 0.015  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.16  kw 0.115  unk 0.880  sil 0.005  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.16  kw 0.005  unk 0.993  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.16  kw 0.000  unk 0.999  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.16  kw 0.002  unk 0.998  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.18  kw 0.019  unk 0.980  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.18  kw 0.868  unk 0.131  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%   *** SENTINEL ***
 18.18  kw 0.223  unk 0.769  sil 0.007  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.18  kw 0.178  unk 0.821  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.18  kw 0.067  unk 0.915  sil 0.018  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.19  kw 0.001  unk 0.999  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.003  unk 0.996  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.006  unk 0.991  sil 0.004  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.003  unk 0.993  sil 0.005  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.010  unk 0.989  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.003  unk 0.997  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.016  unk 0.983  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.20  kw 0.017  unk 0.976  sil 0.007  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.042  unk 0.949  sil 0.009  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.011  unk 0.988  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.027  unk 0.971  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.003  unk 0.997  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.018  unk 0.979  sil 0.004  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.21  kw 0.026  unk 0.920  sil 0.054  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.021  unk 0.972  sil 0.008  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.076  unk 0.837  sil 0.088  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.121  unk 0.867  sil 0.012  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.240  unk 0.666  sil 0.093  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.070  unk 0.889  sil 0.042  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.161  unk 0.640  sil 0.200  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.22  kw 0.066  unk 0.845  sil 0.089  -> unknown | vote 0 | feat 1.18 ms  infer 84.16 ms  cpu 48.0%
 23.22  kw 0.032  unk 0.903  sil 0.066  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
