  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 13.12  kw 0.971  unk 0.020  sil 0.009  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 13.12  kw 0.691  unk 0.234  sil 0.075  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.390  unk 0.262  sil 0.348  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.739  unk 0.119  sil 0.142  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 13.12  kw 0.265  unk 0.178  sil 0.557  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.809  unk 0.098  sil 0.093  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.150  unk 0.189  sil 0.661  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.116  unk 0.854  sil 0.030  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.329  unk 0.653  sil 0.018  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 14.13  kw 0.274  unk 0.682  sil 0.044  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.15  kw 0.427  unk 0.568  sil 0.006  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.15  kw 0.633  unk 0.152  sil 0.215  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.15  kw 0.345  unk 0.410  sil 0.245  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.15  kw 0.297  unk 0.623  sil 0.080  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 15.15  kw 0.569  unk 0.322  sil 0.109  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.157  unk 0.819  sil 0.024  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.412  unk 0.412  sil 0.175  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.359  unk 0.505  sil 0.136  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.120  unk 0.252  sil 0.627  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 16.16  kw 0.755  unk 0.137  sil 0.109  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.259  unk 0.643  sil 0.098  -> unknown | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.296  unk 0.586  sil 0.119  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.084  unk 0.871  sil 0.045  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.181  unk 0.796  sil 0.023  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 17.17  kw 0.330  unk 0.654  sil 0.016  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.17  kw 0.838  unk 0.077  sil 0.086  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.17  kw 0.299  unk 0.500  sil 0.201  -> unknown | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.17  kw 0.030  unk 0.116  sil 0.854  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.17  kw 0.606  unk 0.164  sil 0.230  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 18.17  kw 0.708  unk 0.121  sil 0.171  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.857  unk 0.044  sil 0.098  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 19.19  kw 0.440  unk 0.167  sil 0.393  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.477  unk 0.402  sil 0.121  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.015  unk 0.946  sil 0.039  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.19  kw 0.016  unk 0.979  sil 0.005  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.068  unk 0.931  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.253  unk 0.746  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.821  unk 0.176  sil 0.003  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.698  unk 0.297  sil 0.005  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.517  unk 0.412  sil 0.070  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.20  kw 0.151  unk 0.832  sil 0.017  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.017  unk 0.941  sil 0.041  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.022  unk 0.965  sil 0.013  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.018  unk 0.951  sil 0.031  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.21  kw 0.273  unk 0.718  sil 0.009  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.21  kw 0.123  unk 0.722  sil 0.155  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.050  unk 0.912  sil 0.038  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.641  unk 0.116  sil 0.243  -> keyword | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.404  unk 0.058  sil 0.537  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.602  unk 0.016  sil 0.382  -> keyword | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.22  kw 0.967  unk 0.001  sil 0.032  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.23  kw 0.926  unk 0.003  sil 0.071  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%   *** SENTINEL ***
 23.23  kw 0.259  unk 0.098  sil 0.643  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.23  kw 0.717  unk 0.078  sil 0.205  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.23  kw 0.013  unk 0.656  sil 0.331  -> unknown | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.23  kw 0.007  unk 0.581  sil 0.413  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.016  unk 0.735  sil 0.249  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.019  unk 0.574  sil 0.408  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.066  unk 0.609  sil 0.325  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.280  unk 0.133  sil 0.587  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.727  unk 0.156  sil 0.117  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
